customer_id,name,email,country,customer_type,registration_date,age,gender,total_purchases,ingestion_timestamp
"12","Customer 12","customer12@example.com","Australia","VIP","2019-06-16","65","Other","758",2024-09-26 18:39:17.3752310
"38","Customer 38","customer38@example.com","India","VIP","2021-10-01","38","Other","82",2024-09-26 18:39:17.3752310
"46","Customer 46","customer46@example.com","France","VIP","2023-03-20","78","Other","314",2024-09-26 18:39:17.3752310
"57","Customer 57","customer57@example.com","China","VIP","2010-12-08","41","Other","10",2024-09-26 18:39:17.3752310
"76","Customer 76","customer76@example.com","Australia","VIP","2011-03-11","78","Other","739",2024-09-26 18:39:17.3752310
"79","Customer 79","customer79@example.com","Canada","VIP","2012-07-07","32","Other","763",2024-09-26 18:39:17.3752310
"82","Customer 82","customer82@example.com","Unknown","VIP","2017-12-28","53","Other","474",2024-09-26 18:39:17.3752310
"84","Customer 84","customer84@example.com","UK","VIP","2011-07-12","77","Other","945",2024-09-26 18:39:17.3752310
"88","Customer 88","customer88@example.com","China","VIP","2011-03-27","59","Other","269",2024-09-26 18:39:17.3752310
"108","Customer 108","customer108@example.com","China","VIP","2017-03-29","18","Other","282",2024-09-26 18:39:17.3752310
"118","Customer 118","customer118@example.com","Japan","VIP","2020-07-27","51","Other","775",2024-09-26 18:39:17.3752310
"122","Customer 122","customer122@example.com","Australia","VIP","2010-05-22","73","Other","790",2024-09-26 18:39:17.3752310
"123","Customer 123","customer123@example.com","USA","VIP","2014-10-07","37","Other","537",2024-09-26 18:39:17.3752310
"129","Customer 129","customer129@example.com","India","VIP","2017-02-23","24","Other","888",2024-09-26 18:39:17.3752310
"130","Customer 130","customer130@example.com","Canada","VIP","2019-12-05","63","Other","608",2024-09-26 18:39:17.3752310
"132","Customer 132","customer132@example.com","France","VIP","2014-06-17","59","Other","82",2024-09-26 18:39:17.3752310
"149","Customer 149","customer149@example.com","Germany","VIP","2019-10-04","77","Other","403",2024-09-26 18:39:17.3752310
